Time,Altitude,Velocity,Mass,Thrust,Phase
215.0,84065.07317356263,131.46595799718594,24500.0,0,Re-entry
215.5,84127.81354949521,125.48075186517858,24500.0,0,Re-entry
216.0,84187.60938108129,119.59166317213791,24500.0,0,Re-entry
216.5,84244.50576998298,113.79277780337053,24500.0,0,Re-entry
217.0,84298.54500900091,108.07847803585757,24500.0,0,Re-entry
217.5,84349.76671809964,102.44341819744837,24500.0,0,Re-entry
218.0,84398.20796926299,96.88250232669978,24500.0,0,Re-entry
218.5,84443.90340107455,91.39086362313209,24500.0,0,Re-entry
219.0,84486.88532382506,85.96384550102071,24500.0,0,Re-entry
219.5,84527.18381586515,80.59698408018801,24500.0,0,Re-entry
220.0,84564.82681184766,75.28599196501163,24500.0,0,Re-entry
220.5,84599.84018343684,70.02674317837689,24500.0,0,Re-entry
221.0,84632.24781300228,64.81525913086624,24500.0,0,Re-entry
221.5,84662.07166076095,59.647695517353654,24500.0,0,Re-entry
222.0,84689.33182578273,54.52033004357047,24500.0,0,Re-entry
222.5,84714.04660122989,49.429550894316726,24500.0,0,Re-entry
223.0,84736.23252416137,44.37184586296586,24500.0,0,Re-entry
223.5,84755.90442019582,39.343792068885435,24500.0,0,Re-entry
224.0,84773.07544329356,34.34204619548795,24500.0,0,Re-entry
224.5,84787.75711088703,29.36333518693214,24500.0,0,Re-entry
225.0,84799.95933456009,24.40444734610088,24500.0,0,Re-entry
225.5,84809.69044645032,19.46222378045909,24500.0,0,Re-entry
226.0,84816.95722152322,14.53355014580405,24500.0,0,Re-entry
226.5,84821.76489584362,9.615348640814013,24500.0,0,Re-entry
227.0,84824.11718094748,4.704570207721237,24500.0,0,Re-entry
227.5,84824.01627439569,-0.20181310358122406,24500.0,0,Re-entry
228.0,84821.46286911667,-5.106810558048176,24500.0,0,Re-entry
228.5,84816.45777882247,-10.01018058841844,24500.0,0,Re-entry
229.0,84809.00331989437,-14.908917856205143,24500.0,0,Re-entry
229.5,84799.10330708601,-19.800025616727453,24500.0,0,Re-entry
230.0,84786.76304555935,-24.680523053326013,24500.0,0,Re-entry
230.5,84771.9893192895,-29.547452539689402,24500.0,0,Re-entry
231.0,84754.79037589314,-34.397886792715326,24500.0,0,Re-entry
231.5,84735.17590795353,-39.22893587922755,24500.0,0,Re-entry
232.0,84713.15703093298,-44.037754041089016,24500.0,0,Re-entry
232.5,84688.7462577806,-48.82154630477755,24500.0,0,Re-entry
233.0,84661.95747035895,-53.5775748433032,24500.0,0,Re-entry
233.5,84632.80588782874,-58.30316506042259,24500.0,0,Re-entry
234.0,84601.30803214404,-62.995711369418665,24500.0,0,Re-entry
234.5,84567.48169082342,-67.65268264123497,24500.0,0,Re-entry
235.0,84531.34587717369,-72.27162729945024,24500.0,0,Re-entry
235.5,84492.92078815248,-76.85017804241834,24500.0,0,Re-entry
236.0,84452.22776006456,-81.38605617584638,24500.0,0,Re-entry
236.5,84409.2892222935,-85.87707554210525,24500.0,0,Re-entry
237.0,84364.12864927569,-90.32114603562621,24500.0,0,Re-entry
237.5,84316.7705109273,-94.71627669680191,24500.0,0,Re-entry
238.0,84267.24022173737,-99.06057837984534,24500.0,0,Re-entry
238.5,84215.56408874085,-103.352265993036,24500.0,0,Re-entry
239.0,84161.76925858452,-107.58966031266755,24500.0,0,Re-entry
239.5,84105.88366389713,-111.77118937478035,24500.0,0,Re-entry
240.0,84047.93596917143,-115.89538945138953,24500.0,0,Re-entry
240.5,83987.95551636124,-119.96090562038395,24500.0,0,Re-entry
241.0,83925.97227039096,-123.96649194055504,24500.0,0,Re-entry
241.5,83862.01676476831,-127.91101124530206,24500.0,0,Re-entry
242.0,83796.1200474831,-131.7934345704398,24500.0,0,Re-entry
242.5,83728.3136273665,-135.61284023319777,24500.0,0,Re-entry
